query_id,query_text,query_type,language,video,segment_index,start_time,end_time,relevance,notes
auto_0001,where do they talk about Over past million years must?,natural_search,en,17Min,64,264.7,272.16,3,auto_seed_positive
auto_0001,where do they talk about Over past million years must?,natural_search,en,17Min,79,325.65999999999997,330.92,1,auto_negative_same_video
auto_0001,where do they talk about Over past million years must?,natural_search,en,Rick Warren- A life of purpose - TED Talk,307,919.7,920.9,0,auto_negative_other_video
auto_0001,where do they talk about Over past million years must?,natural_search,en,Sir Ken Robinson- Do schools kill creativity. - TED Talk,54,162.34,163.14,0,auto_negative_other_video
auto_0002,happening on Europa to,exact_keyword,en,17Min,64,264.7,272.16,3,auto_seed_positive
auto_0002,happening on Europa to,exact_keyword,en,17Min,41,175.28,176.42,1,auto_negative_same_video
auto_0002,happening on Europa to,exact_keyword,en,30Min,342,950.02,952.6,0,auto_negative_other_video
auto_0002,happening on Europa to,exact_keyword,en,Jeff Han- The radical promise of the multi-touch interface - TED Talk,149,425.84000000000003,429.04,0,auto_negative_other_video
auto_0003,where do they talk about Over past million years must?,natural_search,en,17Min,64,264.7,272.16,3,auto_seed_positive
auto_0003,where do they talk about Over past million years must?,natural_search,en,17Min,240,939.18,945.56,1,auto_negative_same_video
auto_0003,where do they talk about Over past million years must?,natural_search,en,Comedy 2,173,347.62,349.6,0,auto_negative_other_video
auto_0003,where do they talk about Over past million years must?,natural_search,en,Johan Sverdrup System 23 Gasskompresjon og re-injeksjon,31,177.24,182.08,0,auto_negative_other_video
auto_0004,happening on Europa to,exact_keyword,en,17Min,64,264.7,272.16,3,auto_seed_positive
auto_0004,happening on Europa to,exact_keyword,en,17Min,102,423.62,428.58,1,auto_negative_same_video
auto_0004,happening on Europa to,exact_keyword,en,Sir Ken Robinson- Do schools kill creativity. - TED Talk,287,709.66,711.68,0,auto_negative_other_video
auto_0004,happening on Europa to,exact_keyword,en,Larry Brilliant- My wish- Help me stop pandemics - TED Talk,2,11.22,17.36,0,auto_negative_other_video
auto_0005,where do they talk about Every planet moon been bombarded?,natural_search,en,17Min,59,250.0,257.82,3,auto_seed_positive
auto_0005,where do they talk about Every planet moon been bombarded?,natural_search,en,17Min,230,898.7,903.8,1,auto_negative_same_video
auto_0005,where do they talk about Every planet moon been bombarded?,natural_search,en,30Min,307,862.64,864.78,0,auto_negative_other_video
auto_0005,where do they talk about Every planet moon been bombarded?,natural_search,en,30Min,566,1422.74,1424.96,0,auto_negative_other_video
auto_0006,"over billions of years,",exact_keyword,en,17Min,59,250.0,257.82,3,auto_seed_positive
auto_0006,"over billions of years,",exact_keyword,en,17Min,35,146.44,146.7,1,auto_negative_same_video
auto_0006,"over billions of years,",exact_keyword,en,Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk,244,703.94,704.86,0,auto_negative_other_video
auto_0006,"over billions of years,",exact_keyword,en,Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk,72,161.86,163.84,0,auto_negative_other_video
auto_0007,where do they talk about Every planet moon been bombarded?,natural_search,en,17Min,59,250.0,257.82,3,auto_seed_positive
auto_0007,where do they talk about Every planet moon been bombarded?,natural_search,en,17Min,221,860.72,865.66,1,auto_negative_same_video
auto_0007,where do they talk about Every planet moon been bombarded?,natural_search,en,30Min,491,1267.04,1268.46,0,auto_negative_other_video
auto_0007,where do they talk about Every planet moon been bombarded?,natural_search,en,30Min,432,1146.96,1148.54,0,auto_negative_other_video
auto_0008,"over billions of years,",exact_keyword,en,17Min,59,250.0,257.82,3,auto_seed_positive
auto_0008,"over billions of years,",exact_keyword,en,17Min,53,227.5,232.1,1,auto_negative_same_video
