video,segment_index,start_time,end_time,language,scene_id,text
17Min,0,0.0,3.4,en,0,Arthur C. Clarke had a sequel to 2001 A Space Odyssey.
17Min,0,0.0,3.4,en,0,Arthur C. Clarke had a sequel to 2001 A Space Odyssey.
17Min,1,3.62,5.78,en,0,It's called 2010 Odyssey 2.
17Min,1,3.62,5.78,en,0,It's called 2010 Odyssey 2.
17Min,2,5.96,10.2,en,1,"And at the end of it, an alien intelligence converts Jupiter into a star."
17Min,2,5.96,10.2,en,1,"And at the end of it, an alien intelligence converts Jupiter into a star."
17Min,3,10.6,14.1,en,4,"As a group of astronauts narrowly escape the implosion,"
17Min,3,10.6,14.1,en,4,"As a group of astronauts narrowly escape the implosion,"
17Min,4,14.26,16.72,en,7,they receive the following message from the aliens.
17Min,4,14.26,16.72,en,7,they receive the following message from the aliens.
17Min,5,17.14,20.58,en,8,"All these worlds are yours, except Europa."
17Min,5,17.14,20.58,en,8,"All these worlds are yours, except Europa."
17Min,6,21.14,22.9,en,9,Attempt no landing there.
17Min,6,21.14,22.9,en,9,Attempt no landing there.
17Min,7,23.7,28.02,en,9,"Now, that was just a novel, but it suggests that already in 1982,"
17Min,7,23.7,28.02,en,9,"Now, that was just a novel, but it suggests that already in 1982,"
17Min,8,28.02,34.08,en,12,we suspected that Europa might offer our best chance of finding alien life in our solar system.
17Min,8,28.02,34.08,en,12,we suspected that Europa might offer our best chance of finding alien life in our solar system.
17Min,9,34.58,37.46,en,12,"42 years later, in October 2024,"
17Min,9,34.58,37.46,en,12,"42 years later, in October 2024,"
17Min,10,38.54,42.94,en,15,NASA is actually launching the most advanced mission to hunt for signs of alien life.
17Min,10,38.54,42.94,en,15,NASA is actually launching the most advanced mission to hunt for signs of alien life.
17Min,11,43.68000000000001,46.72,en,18,"And it's going to Jupiter's moon, Europa."
17Min,11,43.68000000000001,46.72,en,18,"And it's going to Jupiter's moon, Europa."
17Min,12,48.480000000000004,50.02,en,20,There's just one problem.
17Min,12,48.480000000000004,50.02,en,20,There's just one problem.
17Min,13,51.72,53.74,en,21,Jupiter kills everything around it.
17Min,13,51.72,53.74,en,21,Jupiter kills everything around it.
17Min,14,54.4,56.58,en,22,So how could life even exist there?
17Min,14,54.4,56.58,en,22,So how could life even exist there?
17Min,15,58.02,62.26,en,24,And how do you make a probe that can withstand the perilous conditions?
17Min,15,58.02,62.26,en,24,And how do you make a probe that can withstand the perilous conditions?
17Min,16,67.22,70.94,en,26,Deep inside Jupiter there is so much pressure that
17Min,16,67.22,70.94,en,26,Deep inside Jupiter there is so much pressure that
17Min,17,70.94,74.8,en,27,hydrogen is believed to take the form of a metallic liquid.
17Min,17,70.94,74.8,en,27,hydrogen is believed to take the form of a metallic liquid.
17Min,18,75.64,80.1,en,27,"And this metallic liquid hydrogen generates an incredibly powerful magnetic field,"
