Filename	Start_Time	Text
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:04	Tanya Cushman Reviewer's Name Reviewer's Name
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:04	I have to tell you, I'm both challenged and excited.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:08	My excitement is I get a chance to give something back.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:11	My challenge is the shortest seminar I usually do is 50 hours.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:17	I'm not exaggerating. I do weekends,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:18	and what I do, I do more than that, obviously, coach people,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:21	but I'm into immersion, because how do you learn language?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:24	You didn't learn it by just learning principles.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:25	You got in it, and you did it so often that it became real.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:28	And the bottom line of why I'm here, besides being crazy mofo,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:31	is that I'm really in a position...
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:34	I'm not here to motivate you, obviously. You don't need that.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:36	And a lot of times, that's what people think I do,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:37	and it's the furthest thing from it.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:39	What happens, though, is people say to me,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:41	well, I don't need any motivation.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:42	And I say, well, that's interesting. That's not what I do.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:45	I'm the why guy.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:46	I don't know why you do what you do.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:48	What is your motive for action?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:51	What is it that drives you in your life today, not 10 years ago,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:54	or are you running the same pattern?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:56	Because I believe that the invisible force
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:00:58	of internal drive activated is the most important thing in the world.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:02	I'm here because I believe emotion is the force of life.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:05	All of us here have great minds.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:07	You know, most of us here have great minds.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:09	I don't know if I'm in that category, but we all know how to think.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:12	And with our minds, we can rationalize anything.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:14	We can make anything happen.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:16	I agree with what was described a few days ago
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:18	about this idea that people work in their self-interest.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:20	But we all know that that's bullshit at times.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:23	You don't work in your self-interest all the time.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:26	Because when emotion comes into it,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:27	the wiring changes in the way it functions.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:30	And so it's wonderful for us to think intellectually
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:32	about how the life of the world is,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:34	and especially those who are very smart.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:35	We can play this game in our head,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:37	but I really want to know what's driving you.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:39	And what I'd like to maybe invite you to do by the end of this talk
